source,author,title,description,url,urlToImage,publishedAt,content
"{'id': None, 'name': 'Hurriyet Daily News'}",hurriyetdailynews.com,March saw 10th straight month of record global heat: monitor,"Europe's climate monitor said on April 9 that March was the hottest on record and the tenth straight month of historic heat, with sea surface temperatures also hitting a ""shocking"" new high.",https://www.hurriyetdailynews.com/march-saw-10th-straight-month-of-record-global-heat-monitor-192313,https://image.hurimg.com/i/hurriyet/75/200x200/66151625b84122d2b91dd4ef.jpg,2024-04-09T10:19:20Z,"BRUSSELS
Europe's climate monitor said on April 9 that March was the hottest on record and the tenth straight month of historic heat, with sea surface temperatures also hitting a ""shocking"" new high… [+2511 chars]"
"{'id': None, 'name': 'Streetartutopia.com'}",Vidar,16 Powerful Images: Climate Change Addressed Through Graffiti and Street Art,"Climate change is one of the most pressing issues facing our planet, and artists are using graffiti and street art as a powerful means to address this global crisis. In today’s blog post, we’ll explore 16 awe-inspiring images that not only capture the urgency…",https://streetartutopia.com/2024/05/02/16-powerful-images-climate-change-addressed-through-graffiti-and-street-art/,https://streetartutopia.com/wp-content/uploads/2023/04/Street-Art-by-Oakoak-Stop-global-warming-edited.jpg,2024-05-02T20:48:33Z,"By Oakoak
In today’s blog post, we’ll explore 16 awe-inspiring images that not only capture the urgency of climate change but also inspire us to take action in our daily lives.
One powerful image t… [+4274 chars]"
"{'id': None, 'name': 'Globalresearch.ca'}",Melissa Garriga,Earth Day 2024: Unveiling the Ecological Toll of War and Genocide,"All Global Research articles can be read in 51 languages by activating the Translate Website button below the author’s name (only available in desktop version).
To receive Global Research’s Daily Newsletter (selected articles), click here.
Click the share but…",https://www.globalresearch.ca/earth-day-ecological-toll-war/5855069,https://www.globalresearch.ca/wp-content/uploads/2024/04/earth-day-environment-war.jpeg,2024-04-18T09:21:56Z,"All Global Research articles can be read in 51 languages by activating the Translate Website button below the authors name (only available in desktop version).
To receive Global Researchs Daily News… [+5454 chars]"
"{'id': None, 'name': 'Yale.edu'}",,"Climate Change Intensified 2021 Pacific Northwest Heat Wave, Study Finds","Climate change made the disastrous 2021 heat wave in the Pacific Northwest larger and longer-lasting than it would have been otherwise, a new study finds.Read more on E360 →",https://e360.yale.edu/digest/climate-change-pacific-northwest-2021-heat-dome,,2024-04-26T07:02:26Z,"Climate change made the disastrous 2021 heat wave in the Pacific Northwest larger and longer-lasting than it would have been otherwise, a new study finds.
From June 18 to July 14 of 2021, high press… [+946 chars]"
"{'id': None, 'name': 'Energycentral.com'}",[Energy Central] Jim Baird,The Coming Pay Raise or Cut for Your Grandchildren?,"A study conducted by researchers from the Potsdam Institute for Climate Impact Research suggests that regardless of future emission choices, the world economy is on track to experience a significant income reduction of approximately 19% within the next 26 yea…",https://energycentral.com/c/pip/coming-pay-raise-or-cut-your-grandchildren,,2024-04-29T13:05:17Z,"A study conducted by researchers from the Potsdam Institute for Climate Impact Research suggests that regardless of future emission choices, the world economy is on track to experience a significant … [+3233 chars]"
"{'id': None, 'name': 'International Business Times'}",Marlowe HOOD,Climate Impacts Set To Cut 2050 Global GPD By Nearly A Fifth,"Climate change caused by CO2 emissions already in the atmosphere will shrink global GDP in 2050 by about $38 trillion, or almost a fifth, no matter how aggressively humanity cuts carbon pollution, researchers said Wednesday.",https://www.ibtimes.com/climate-impacts-set-cut-2050-global-gpd-nearly-fifth-3729910,https://d.ibtimes.com/en/full/4522346/new-study-shows-that-climate-change-will-cause-massive-economic-damage-within-next-25-years.jpg,2024-04-17T15:06:08Z,"Climate change caused by CO2 emissions already in the atmosphere will shrink global GDP in 2050 by about $38 trillion, or almost a fifth, no matter how aggressively humanity cuts carbon pollution, re… [+4342 chars]"
"{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",ABC News,"Heavy rains lash Middle East, disrupting flights in Dubai after killing 18 in Oman",Dubai's major international airport diverts scores of incoming flights as heavy rains flood the United Arab Emirates after leaving 18 dead in Oman.,https://www.abc.net.au/news/2024-04-17/heavy-rains-lash-uae-flood-dubai-disrupt-dxb-flights/103733378,https://live-production.wcms.abc-cdn.net.au/48e6bcf39e7da177023f3b01fe3c8b5c?impolicy=wcms_watermark_news&cropH=335&cropW=596&xPos=664&yPos=304&width=862&height=485&imformat=generic,2024-04-17T03:37:20Z,<ul><li>In short: Widespread flooding and heavy rain in the United Arab Emirates are causing major flight diversions at Dubai's international airport.</li><li>Shopping centres are closed and some roa… [+3611 chars]
"{'id': None, 'name': 'Raw Story'}",Agence France-Presse,"Indian prodigy, 17, makes chess history","A 17-year-old from India will become the youngest player to challenge for the World Chess Championship crown after winning a major tournament in Canada.Gukesh Dommaraju will face reigning champion Ding Liren from China for another piece of history, after bein…",https://www.rawstory.com/indian-prodigy-17-makes-chess-history/,https://www.rawstory.com/media-library/gukesh-dommaraju-surveys-the-board-during-his-round-nine-game-against-the-azerbaijan-team-at-the-44th-chess-olympiad-on-august-7.jpg?id=52061608&width=1200&height=600&coordinates=0%2C0%2C0%2C50,2024-04-22T11:11:40Z,"In a year of contrasting extremes, Europe witnessed scorching heatwaves but also catastrophic flooding, withering droughts, violent storms and its largest wildfire.
These disasters inflicted billion… [+3838 chars]"
"{'id': None, 'name': 'Science Daily'}",,Substantial global cost of climate inaction,"Pioneering study reveals that limiting global warming to 1.5 degrees Celsius could reduce the global economic costs of climate change by two thirds. If warming continues to 3 degrees Celsius, global GDP will decrease by up to 10 percent -- with the worst impa…",https://www.sciencedaily.com/releases/2024/04/240417131103.htm,https://www.sciencedaily.com/images/scidaily-icon.png,2024-04-17T17:11:03Z,"Traditionally, estimates of how climate change will affect global economies have focused on the effects of annual temperature changes. However, the additional impacts of variability and extremes in r… [+2994 chars]"
"{'id': 'abc-news', 'name': 'ABC News'}",ALEXA ST. JOHN Associated Press,Scientists say coral reefs around the world are experiencing mass bleaching in warming oceans,Reef scientists say coral reefs around the world are experiencing global bleaching for the fourth time due to prolonged warming of the oceans,https://abcnews.go.com/Technology/wireStory/scientists-coral-reefs-world-experiencing-mass-bleaching-warming-109247719,https://i.abcnewsfe.com/a/71360be4-42d5-431f-af93-c46eddfcba66/wirestory_cd23685816777c56306376a72989f1cb_16x9.jpg?w=1600,2024-04-15T15:15:21Z,"Coral reefs around the world are experiencing global bleaching for the fourth time, top reef scientists declared Monday, a result of warming ocean waters amid human-caused climate change.
Coral reef… [+2422 chars]"
