source,author,title,description,url,urlToImage,publishedAt,content
"{'id': None, 'name': 'CleanTechnica'}",Zachary Shahan,Tesla “Full Self Driving” Could Come To Other Countries Before Long,"Ever since Tesla started rolling out Full Self Driving (FSD) to non-employee Tesla owners in the US, people in other countries have been asking when they’ll be able to install and use FSD. As far as I remember, it’s always been a vague “someday…” kind of resp…",https://cleantechnica.com/2024/04/23/tesla-full-self-driving-could-come-to-other-countries-before-long/,https://cleantechnica.com/wp-content/uploads/2024/03/Tesla-Model-3-Autostopping-Stop-Light-Autopilot-Full-Self-Driving-CleanTechnica-Stopping-New-FSD.jpeg,2024-04-24T03:55:41Z,"Sign up for daily news updates from CleanTechnica on email. Or follow us on Google News!
Ever since Tesla started rolling out Full Self Driving (FSD) to non-employee Tesla owners in the US, people i… [+3965 chars]"
"{'id': None, 'name': 'CleanTechnica'}",Zachary Shahan,More Than 3× As Many Tesla Model Y Sales As Tesla Model 3 Sales In USA In 1st Quarter,"Tesla’s just had a tough quarter, including in the United States, but a tough quarter for Tesla would be a stunning, fantabulous success for any other company trying to sell electric vehicles. In the USA, according to data from Cox Automotive and Kelley Blue …",https://cleantechnica.com/2024/04/19/more-than-3x-as-many-tesla-model-y-sales-as-tesla-model-3-sales-in-usa-in-1st-quarter/,https://cleantechnica.com/wp-content/uploads/2024/02/New-Tesla-Model-Y-Model-3-Model-S-Model-X-Supercharging-Florida-Station-CleanTechnica-Watermark-Sky-logo-800x445.png,2024-04-20T03:57:24Z,"Sign up for daily news updates from CleanTechnica on email. Or follow us on Google News!
Tesla’s just had a tough quarter, including in the United States, but a tough quarter for Tesla would be a st… [+4173 chars]"
"{'id': None, 'name': 'CleanTechnica'}",Paul Fosse,Tesla Surprises Investors With A Tiny Y & A Tiny 3 As Soon As This Year!,"A lot has been written about the Tesla’s next-generation compact car that used to be widely called the Model 2, including Zach’s excellent article last week about it. Zach asked who might pick up the challenge in place of Tesla doing it. Today, Tesla announce…",https://cleantechnica.com/2024/04/23/tesla-surprises-investors-with-a-tiny-y-a-tiny-3-as-soon-as-this-year/,https://cleantechnica.com/wp-content/uploads/2023/12/Apple-Car-Tesla-Model-3-CleanTechnica-Front-Glass-Watermark-Logo-scaled.jpeg,2024-04-24T01:56:23Z,"Sign up for daily news updates from CleanTechnica on email. Or follow us on Google News!
A lot has been written about the Tesla’s next-generation compact car that used to be widely called the Model … [+6014 chars]"
"{'id': None, 'name': 'CleanTechnica'}",Carolyn Fortuna,The Revisionist Language That Tesla Used In The Q1 2024 Earnings Call,"The Tesla, Inc. Q1 2024 earnings call was fascinating in how Tesla representatives drew on carefully phrased statements to appease and turn around what was then a largely disgruntled shareholder group. The revisionist language within the earnings call took co…",https://cleantechnica.com/2024/04/26/the-revisionist-language-that-tesla-used-in-the-q1-2024-earnings-call/,https://cleantechnica.com/wp-content/uploads/2023/06/Elon-Musk-CleanTechnica-shirt-Tesla-Model-Y-reveal-watermark.jpeg,2024-04-26T19:24:10Z,"Sign up for daily news updates from CleanTechnica on email. Or follow us on Google News!
The Tesla, Inc. Q1 2024 earnings call was fascinating in how Tesla representatives drew on carefully phrased … [+9089 chars]"
"{'id': 'techcrunch', 'name': 'TechCrunch'}",Paul Sawers,French startup FlexAI exits stealth with $30M to ease access to AI compute,"A French startup has raised a hefty seed investment to ""rearchitect compute infrastructure"" for developers wanting to build and train AI applications more...",https://techcrunch.com/2024/04/23/french-startup-flexai-exits-stealth-with-30m-to-ease-access-to-ai-compute/,https://s.yimg.com/ny/api/res/1.2/V7FcJP2rJb.YNXWOmWjLrw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzQ-/https://media.zenfs.com/en/techcrunch_350/128964a889f3f6262e9e1f768561ec69,2024-04-24T05:37:28Z,"A French startup has raised a hefty seed investment to ""rearchitect compute infrastructure"" for developers wanting to build and train AI applications more efficiently.
FlexAI, as the company is call… [+10420 chars]"
"{'id': None, 'name': 'CleanTechnica'}",Chris Boylan,Tesla Retreats When It Should be Advancing,"With Tesla’s lackluster performance in Q1 for EV deliveries, one would think the company would pull out all the stops to stimulate demand. And they have started taking the most basic measure, which is seemingly the only one in Elon’s arsenal: slash prices. Te…",https://cleantechnica.com/2024/04/21/tesla-retreats-when-it-should-advance/,https://cleantechnica.com/wp-content/uploads/2024/04/Tesla-Advance-featured.jpg,2024-04-22T03:37:08Z,"Sign up for daily news updates from CleanTechnica on email. Or follow us on Google News!
With Tesla’s lackluster performance in Q1 for EV deliveries, one would think the company would pull out all t… [+5671 chars]"
"{'id': None, 'name': 'Fark.com'}",,"""Wife of Doctor Who Drove Tesla Off Cliff Asks Court to Spare Him Prison"". Wait, Doctor Who drove a Tesla off a cliff? Must have been a Twelfth Doctor episode [Asinine]","""Wife of Doctor Who Drove Tesla Off Cliff Asks Court to Spare Him Prison"". Wait, Doctor Who drove a Tesla off a cliff? Must have been a Twelfth Doctor episode",https://www.fark.com/comments/13242136/Wife-of-Doctor-Who-Drove-Tesla-Off-Cliff-Asks-Court-to-Spare-Him-Prison-Wait-Doctor-Who-drove-a-Tesla-off-a-cliff-Must-have-been-a-Twelfth-Doctor-episode,https://usrimg-full.fark.net/l/lK/fark_lKtuoI-Nab1W3c1dMvEoBJplMag.jpg?AWSAccessKeyId=JO3ELGV4BGLFW7Y3EZXN&Expires=1714968000&Signature=IVephGcp1z1MNnyl5d%2BwJ7mf7j8%3D,2024-05-04T07:05:38Z,"<li>Links are submitted by members of the Fark community.
</li><li>When community members submit a link, they also write a custom headline for the story.
</li><li>Other Farkers comment on the links… [+177 chars]"
"{'id': None, 'name': 'CleanTechnica'}",Zachary Shahan,"Tesla Reaches 1,000 Cybertrucks Produced A Week","There have been a lot of questions about the Tesla Cybertruck’s mass-production potential since the truck was first shown, and we’re clearly in a kind of “production hell” period of the Cybertruck ramp-up. Recently, production was paused and a recall issued b…",https://cleantechnica.com/2024/04/23/tesla-reaches-1000-cybertrucks-produced-a-week/,https://cleantechnica.com/wp-content/uploads/2024/04/Tesla-Cybertruck-production-line.png,2024-04-24T03:50:14Z,"Sign up for daily news updates from CleanTechnica on email. Or follow us on Google News!
There have been a lot of questions about the Tesla Cybertruck’s mass-production potential since the truck was… [+1854 chars]"
"{'id': None, 'name': 'CleanTechnica'}",Zachary Shahan,Pros & Cons of Tesla Supercharging Changes,"As you’ve surely heard, Tesla has laid off 500 employees in the Supercharging division, the majority of its Supercharger team. Upon the sudden news, various reasons were put forth for why Elon Musk might have laid them all off. Reportedly, the core reason was…",https://cleantechnica.com/2024/05/02/pros-cons-of-tesla-supercharging-changes/,https://cleantechnica.com/wp-content/uploads/2024/04/Tesla-location-service-fleet-Supercharger-growth-logo-copy.png,2024-05-02T12:52:16Z,"Sign up for daily news updates from CleanTechnica on email. Or follow us on Google News!
As you’ve surely heard, Tesla has laid off 500 employees in the Supercharging division, the majority of its S… [+6996 chars]"
"{'id': None, 'name': 'Etf.com'}",Sumit Roy,TSLL Surges 86%. Will it Keep Rallying?,The leveraged Tesla ETF jumped on Monday on word that Tesla would roll out FSD in China.,http://www.etf.com/sections/news/tsll-surges-68-will-it-keep-rallying?utm_source=yahoo-finance&utm_medium=rss&utm_campaign=yahoo-finance-rss,https://s.yimg.com/ny/api/res/1.2/fbmh55TQuGxyG1i7iOSmug--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://media.zenfs.com/en/indexuniverse.com/8b7973db41d50f3454f3f3057f86198c,2024-04-29T20:04:03Z,"TSLL Surges 68%. Will it Keep Rallying?
Shares of Tesla Inc. soared 18% on Monday, adding to their massive gains from last week and boosting exchange-traded funds holding the company's stock, as the… [+1766 chars]"
